orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo,discordancia_strength_raw,discordancia_strength_loo,discordancia_degree_loo
46392114000125,0.0685506741276978,0.0596797281670092,106,232,0.866513044290506,0.4635166822545847,0.032978070145350626,0.09550504638306379,0.9956856969112265,-0.8335349741451554,-0.3680116358715209,False,False,False
46392130000118,0.1665029654127573,0.1023878089060463,14,18,0.7014649142635004,0.6372003612760867,0.29875226951736167,0.336161953088782,0.7043225208039757,-0.40271264474613877,-0.3010384081873047,False,False,False
46439865000150,0.7423069342991335,0.677883667873917,5,6,0.9674196394710004,0.4098700464457396,0.013894621221546138,0.007647577165116501,0.9901241396603853,-0.9535250182494542,-0.4022224692806231,False,False,False
46561593000166,0.1750017985329535,0.1000019620359492,12,12,0.4259189140863698,0.5684490169598444,0.08266226531513719,0.18419120297906813,0.8951209452104336,-0.3432566487712326,-0.3842578139807763,False,False,False
46634242000138,0.4836799916881203,0.4320479908569324,11,11,0.913704525061485,0.4016278171742928,0.0005870578817647121,0.0006658946208449863,0.9996042325154407,-0.9131174671797203,-0.4009619225534478,False,False,False
46675997000180,0.0646612620774571,0.0578834451359893,139,223,0.6730464358665,0.6189661573467656,0.28344273903253936,0.3194272340849606,0.8686240896622076,-0.3896036968339607,-0.29953892326180503,False,False,False
46709309000156,0.2222442885307124,0.2160222428389581,126,271,0.7843733527443273,0.4810449915434486,0.11056180696693516,0.10800148796259056,0.8923791870254245,-0.6738115457773921,-0.373043503580858,False,False,False
46711362000191,0.1043281968464226,0.0446167433028508,16,16,0.4230427795399929,0.5878203079247608,0.2235351866047448,0.28425918315926585,0.7173659502721832,-0.1995075929352481,-0.30356112476549496,False,False,False
46712907000184,0.0879241995327551,0.0618648909479767,36,95,0.4262871816424235,0.4333877652659718,0.026458538617844665,0.03507987484561772,0.9550890152776264,-0.3998286430245789,-0.3983078904203541,False,False,False
46755690000190,0.5054808696883557,0.423061014636415,7,7,0.9346814016843976,0.8478054364228604,0.3967446411930795,0.451065779592576,0.8856402231511076,-0.5379367604913181,-0.39673965683028445,False,False,False
