orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,pct_hhi_norm,pct_exposure_strength,gap_percentil_exposure_hhi,residuo_exposure_hhi,sobreexposicao_gap_q75,sobreexposicao_resid_q75
02482295000105,12507602.76,453,124,0.3536419015694142,0.0188636950621074,0.5806268898485547,0.7693626376410437,2.8277192141602487,0.3483869576797346,0.010886977135783,0.3347782065073068,0.3374999805439516,0.8615423619501575,0.9431395868985534,0.7906458797327395,0.8166295471417966,0.02598366740905711,0.11930098366492636,False,False
02524947000127,44230.0,6,6,0.2192222340529886,0.1666666666666666,0.2780917929007461,0.8659281030974452,4.561581102025846,0.0630666808635864,3.3306690738754695e-17,0.052555567386322,0.0630666808635864,0.7048055697729614,0.5293381429293824,0.20935412026726058,0.10393466963622866,-0.10541945063103192,-0.20678247360544177,False,False
02533645000115,32158.06,9,9,0.1935459357966425,0.1111111111111111,0.3097015180642116,0.7695899566080789,5.1667321035906095,0.0927391777712229,0.0,0.0824348246855314,0.0927391777712229,0.5672728090226629,0.246591314721709,0.31328878990348924,0.011135857461024499,-0.3021529324424647,-0.4986517228275231,False,False
02555079000142,37452244.56,9,9,0.4247397468133206,0.1111111111111111,0.5781018396724898,0.9592291458645756,2.3543829074219293,0.3528322151649857,0.0,0.3136286357022095,0.3528322151649857,0.3989296410860706,0.9874393947454666,0.7965850037119525,0.9747587230883444,0.17817371937639193,0.1622341552484966,False,True
02571926000162,18870.0,6,6,0.3373189892408073,0.1666666666666666,0.4239533651298357,0.9666136724960256,2.964552936230086,0.2047827870889687,3.3306690738754695e-17,0.1706523225741406,0.2047827870889687,0.9650711900848368,0.5764274320849403,0.6028210838901262,0.1403118040089087,-0.46250927988121754,-0.20326194745404436,False,False
02581343000112,79666.7,23,21,0.1450792305131761,0.051039697542533,0.264163069387837,0.6511980538920277,6.892785386735147,0.1023331920388349,0.0035916824196597,0.094039532970643,0.0987415096191751,0.5991594198593897,0.4011938220758994,0.3526354862657758,0.03637713437268003,-0.31625835189309576,-0.346998769656111,False,False
02701029000126,114177.13000000002,7,7,0.2350122666892017,0.1428571428571428,0.3262972190665503,0.8705518346800274,4.25509703849832,0.107514311137402,0.0,0.0921551238320589,0.107514311137402,0.6417192093911224,0.5733322567093981,0.3711952487008166,0.1358574610244989,-0.23533778767631772,-0.17645320231281847,False,False
02762633000162,7673811.4,54,44,0.0789928006736219,0.0281207133058984,0.193385507233081,0.4609034201700605,12.659381506572286,0.0575740285962642,0.0055188694292914,0.0508720873677234,0.0520551591669728,0.5539108386520867,0.8526961950490752,0.18782479584261322,0.5352635486265775,0.3474387527839643,0.11826422260187952,True,False
02920909000193,2238600.350000001,72,62,0.0462414159979878,0.0192901234567901,0.093153474223302,0.334834621105996,21.62563534048167,0.030606029375004,0.0032129123659178,0.0269512925411977,0.0273931170090861,0.7688018502790301,0.7412589683419523,0.062360801781737196,0.3348181143281366,0.2724573125463994,0.01511795447429043,True,False
02983473000181,5348957.1,7,6,0.8353422475700001,0.183673469387755,0.9125203303649604,0.989635923608361,1.1971141204805422,0.8024106970840001,0.0204081632653061,0.651668778182245,0.782002533818694,0.3989296410860706,0.9626013832119268,0.9732739420935412,0.8982925018559762,-0.07498144023756503,-0.0008208794041238976,False,False
02994421000100,369674.69,18,17,0.138307148945454,0.0617283950617283,0.256982700113984,0.6374956316322331,7.2302842450637375,0.0844513457545449,0.0030864197530864,0.0765787538837256,0.0813649260014585,0.443760437581436,0.5512319023993772,0.28878990348923533,0.11952487008166296,-0.16926503340757237,-0.19146314961334387,False,False
03061303000102,4014083.369999999,36,33,0.2851221979146543,0.037037037037037,0.5171541616486156,0.6976360558251185,3.507268137359583,0.2627822665994873,0.0069444444444444,0.2480851608776172,0.2558378221550428,0.4064149781736408,0.8356544023880427,0.6933927245731255,0.4974016332590943,-0.1959910913140312,0.038133841591935336,False,False
03130778000103,219634.8,7,7,0.2837917295305102,0.1428571428571428,0.4370892044430118,0.9242615468951186,3.523710862379064,0.1644236844522618,0.0,0.1409345866733673,0.1644236844522618,0.6320239875486791,0.6376166543882602,0.5226429101707498,0.19821826280623608,-0.3244246473645137,-0.129664847001414,False,False
03133862000180,27087.74,14,13,0.1644277826500228,0.0816326530612245,0.2764627096981881,0.7045866506397358,6.081697289128171,0.0947967645375247,0.0051020408163265,0.0827951295887983,0.0896947237211981,0.4270737078976415,0.1801873400667964,0.32293986636971045,0.005196733481811433,-0.317743132887899,-0.565688275617478,False,False
03183869000107,446354.55,8,7,0.2187594090025405,0.15625,0.3138500548498945,0.8939897666552297,4.571231950934676,0.0885526438362972,0.015625,0.0625094090025405,0.0729276438362972,0.5220458764088454,0.6722998616061421,0.3028953229398664,0.23385300668151449,-0.06904231625835189,-0.07165608085081054,False,False
03230443000167,9826066.919999998,220,98,0.5952469725362778,0.0205785123966942,0.739804841467536,0.9653950718259507,1.679974945087275,0.5910742609129405,0.0104813836585158,0.5746684601395836,0.5805928772544247,0.5222646162405242,0.9834038491984908,0.9213066072754269,0.9599109131403119,0.03860430586488495,0.08495420929221942,False,False
03264792000108,4616658.594500001,333,125,0.1092343069278571,0.0210029849669489,0.2859210775456877,0.5146080701593019,9.154633082996911,0.1020507126288882,0.0131078477489404,0.0882313219609082,0.0889428648799478,0.660554992016856,0.8907450423704323,0.35115070527097253,0.6317743132887899,0.2806236080178173,0.14263929523776442,True,True
03331692000149,589992.7699999999,15,12,0.1007774300909498,0.1022222222222222,0.1403407028191209,0.4767382996913673,9.922856725930773,0.0190299237355816,0.0206060606060606,-0.0014447921312723,-0.0015761368704789,0.4186081614383873,0.6058898759201128,0.02746844840386043,0.16629547141796586,0.13882702301410543,-0.11669221570117427,False,False
