orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal
45788709000131,1,27,5210307,Israelândia,GO,164255.63999999998,27,14,0.1969722604386948,0.2984024171103043,0.8143043368252073,5.076857003990354,0.7298767639441538,0.0864197530864197,11.571428571428577,0.110552507352275,0.531557203808216,0.5203074648328153,True
45812676000118,1,8,5219100,Santa Bárbara de Goiás,GO,101494.0,8,7,0.3228020740425935,0.4688355961928784,0.9366957652669125,3.097873528123771,0.6937744617634432,0.15625,6.4,0.1665520740425935,0.7538719701508981,0.5991261357777499,True
45845902000167,1,10,5210604,Itaguaru,GO,301642.24,10,7,0.2140767766265756,0.3365576386118867,0.8384435813764014,4.671221305542861,0.8719237613002936,0.22,4.545454545454544,-0.0059232233734244,0.8134868886137423,0.753971749809081,True
45916929000101,1,26,5204805,Campo Alegre de Goiás,GO,2620757.87,26,8,0.3101366793038802,0.5120274617357153,0.8443959456659,3.2243848171862743,0.7345211374347468,0.3254437869822485,3.0727272727272728,-0.0153071076783682,0.410655709683378,0.8994808696085861,True
45965982000194,1,14,5216403,Paraúna,GO,1009709.32,14,13,0.2076514349265111,0.4078797648416279,0.6846921052486671,4.81576253183083,0.7866741497437343,0.0816326530612245,12.249999999999998,0.1260187818652866,0.4624741399066803,0.7607146490362022,True
46139952000191,1,64,3506003,Bauru,SP,6835279.460000001,64,56,0.1863716058371173,0.3115307885304809,0.7631355134088402,5.365624208196,0.5323092849420638,0.02001953125,49.95121951219512,0.1663520745871173,0.6291379104584903,0.918848567910463,True
46190305000104,1,726,5203302,Bela Vista de Goiás,GO,2253707.41,726,24,0.1694082093724971,0.2498225801192178,0.7615739391831701,5.902901658096073,0.6465694519897909,0.1693949259689305,5.903364544599255,1.328340356665514e-05,0.598045935520995,0.8867758498421908,True
46251021000180,1,13,3520509,Indaiatuba,SP,1399008.27,13,13,0.3027577584027318,0.5003544332157521,0.8606090584439503,3.30297068281827,0.6208769724944341,0.0769230769230769,12.999999999999996,0.2258346814796549,0.4862804276765309,0.8589085954631768,True
46335839000181,1,11,4216909,São Lourenço do Oeste,SC,260966.44,11,11,0.3065280077849787,0.5019036164190307,0.8775649466651727,3.262344629536997,0.6495394276799985,0.0909090909090909,11.0,0.2156189168758877,0.668390062217771,0.6929147853986954,True
46392114000125,1,155,3550308,São Paulo,SP,9871858.72,155,68,0.0661545643544532,0.167620039643355,0.4425199421816685,15.116114961350869,0.794804129805563,0.0212695109261186,47.01565557729941,0.0448850534283346,0.4106901941262934,0.8406522690697604,True
